table_name,foreign_key_column,referenced_table,referenced_column
tb_alergia,co_prontuario,tb_prontuario,co_seq_prontuario
tb_alergia_evolucao,co_criticidade_alergia,tb_criticidade_alergia,co_criticidade_alergia
tb_alergia_evolucao,co_atend_prof,tb_atend_prof,co_seq_atend_prof
tb_alim_bebida,,,
tb_antecedente,co_prontuario,tb_prontuario,co_seq_prontuario
tb_antecedente_historico,co_atend_prof,tb_atend_prof,co_seq_atend_prof
tb_antecedente_item,co_antecedente_historico,tb_antecedente_historico,co_seq_antecedente_historico
tb_antecedente_item,tp_antecedente_item,tb_antecedente_tipo_item,co_antecedente_tipo_item
tb_antecedente_tipo_item,,,
tb_aplicacao_medicamento,,,
tb_arcada,co_parte_bucal,tb_parte_bucal,co_parte_bucal
tb_atend,co_atend_prof,tb_atend_prof,co_seq_atend_prof
tb_atend,co_agendado,tb_agendado,co_seq_agendado
tb_atend,co_unidade_saude,tb_unidade_saude,co_seq_unidade_saude
tb_atend,co_equipe,tb_equipe,co_seq_equipe
tb_atend,tp_local_atend,tb_local_atend,co_local_atend
tb_atend,st_atend,tb_status_atend,co_status_atend
tb_atend,co_lotacao,tb_lotacao,co_ator_papel
tb_atend,co_prontuario,tb_prontuario,co_seq_prontuario
tb_atend,co_classificacao_risco,tb_classificacao_risco,co_classificacao_risco
tb_atend_prof,tp_atend_prof,tb_tipo_atend_prof,co_tipo_atend_prof
tb_atend_prof,co_atend,tb_atend,co_seq_atend
tb_atend_prof,co_classificacao_risco,tb_classificacao_risco,co_classificacao_risco
tb_atend_prof,co_lotacao_atend_compartilhado,tb_lotacao,co_ator_papel
tb_atend_prof,co_conselho_classe,tb_conselho_classe,co_conselho_classe
tb_atend_prof,co_atend_prof_tipo_encam_intrn,tb_atend_prof_tipo_encam_intrn,co_seq_atend_prof_tipo_enc_int
tb_atend_prof,co_lotacao,tb_lotacao,co_ator_papel
tb_atend_prof,tp_atend,tb_tipo_atend,co_tipo_atend
tb_atend_prof,co_uf_emissora_conselho_classe,tb_uf,co_uf
tb_atend_prof,co_racionalidade_saude,tb_racionalidade_saude,co_racionalidade_saude
tb_atend_prof,st_atend_prof,tb_status_atend_prof,co_status_atend_prof
tb_atend_prof_ad,co_ad_origem,tb_ad_origem,co_ad_origem
tb_atend_prof_ad,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_atend_prof_ad,co_cid10_secundario_2,tb_cid10,co_cid10
tb_atend_prof_ad,co_cid10_secundario_1,tb_cid10,co_cid10
tb_atend_prof_ad,co_cid10_principal,tb_cid10,co_cid10
tb_atend_prof_ad,co_ad_destino,tb_ad_destino,co_seq_ad_destino
tb_atend_prof_ad,tp_cds_cuidador,tb_cds_tipo_cuidador,co_cds_tipo_cuidador
tb_atend_prof_ad,co_atend_prof_ad,tb_atend_prof,co_seq_atend_prof
tb_atend_prof_ad,co_ad_tipo_elegivel,tb_ad_tipo_elegivel,co_ad_tipo_elegivel
tb_atend_prof_ad_qst,co_atend_prof_ad,tb_atend_prof_ad,co_atend_prof_ad
tb_atend_prof_odonto,co_atend_prof_odonto,tb_atend_prof,co_seq_atend_prof
tb_atend_prof_odonto,tp_consulta_odonto,tb_tipo_consulta_odonto,co_tipo_consulta_odonto
tb_atend_prof_pre_natal,tp_edema,tb_tipo_edema,co_tipo_edema
tb_atend_prof_pre_natal,co_atend_prof_pre_natal,tb_atend_prof,co_seq_atend_prof
tb_atend_prof_puericultura,co_atend_prof_puericultura,tb_atend_prof,co_seq_atend_prof
tb_atend_prof_tipo_encam_intrn,co_atend,tb_atend,co_seq_atend
tb_atend_prof_tipo_encam_intrn,tp_encam_interno,tb_tipo_encam_interno,co_tipo_encam_interno
tb_atend_prof_tipo_encam_intrn,co_agendado,tb_agendado,co_seq_agendado
tb_atend_prof_tipo_encam_intrn,co_lotacao,tb_lotacao,co_ator_papel
tb_atestado,co_prontuario,tb_prontuario,co_seq_prontuario
tb_atestado,co_atend_prof,tb_atend_prof,co_seq_atend_prof
tb_ativ_col_grupo,co_grupo,tb_grupo_ativ_col,co_seq_grupo_ativ_col
tb_ativacao_agendamento_online,co_prof,tb_prof,co_seq_prof
tb_ator,,,
tb_ator_papel,co_prof,tb_prof,co_seq_prof
tb_atributo_complem,,,
tb_auditoria_evento,,,
tb_auditoria_processo,co_usuario,tb_usuario,co_seq_usuario
tb_bairro,co_localidade,tb_localidade,co_localidade
tb_calendario_vacinal,co_dose_imunobiologico,tb_dose_imunobiologico,co_dose_imunobiologico
tb_calendario_vacinal,co_imunobiologico,tb_imunobiologico,co_imunobiologico
tb_categoria_agente_causador,,,
tb_cbo,,,
tb_cbo_atend,co_localidade,tb_localidade,co_localidade
tb_cbo_atend,co_cbo,tb_cbo,co_cbo
tb_cds_adm_medicamento,,,
tb_cds_aleitamento_materno,,,
